subject_id	O14625	O43508	O95760	P01133	P01135	P01374	P01375	P01579	P01584	P02778	P03956	P04141	P05112	P05231	P09603	P09919	P10145	P10147	P13232	P13236	P13500	P13725	P14210	P15692	P22301	P35225	P39900	P40933	P48061	P49771	P50591	P51671	P60568	P78380	P80075	P80098	Q07325	Q14116	Q16552	Q8NEV9	Q969D9	Q96PD4	Q99616	Q99731	Q9P0M4
61	507.47346	255.25853999999998	0.15227000000000002	140.56055	4.8932199999999995	10.727030000000001	15.1439	0.22916	0.0259	57.60491999999999	1557.58643	0.07764	0.04845	0.98541	123.75998999999999	105.95693999999999	17.1014	12.84252	0.65781	60.438019999999995	214.22651000000002	1.61772	85.82429	176.05106999999998	6.63797	0.03025	190.79013999999998	7.46669	178.36652	94.94678	255.51642999999999	191.87436	0.0054600000000000004	102.45093	15.23686	2.13537	109.28743999999999	154.02999	1.4990700000000001	4.77671	0.1031	0.7825300000000001	144.83908	100.86731999999999	12.492239999999999
62	176.34156000000002	342.01427	0.07721	118.15512	3.1729700000000003	6.24044	8.13455	0.20615999999999998	0.05732999999999999	44.16681	1213.21405	0.06345	0.0088	0.5120899999999999	104.9395	60.171640000000004	2.7972	2.52618	0.43545	28.019170000000003	190.3947	0.67507	112.33336000000001	167.06268	1.61784	0.04228	186.29201	7.248760000000001	420.07815	99.34687	360.70484	189.43632	0.00403	37.47987	6.55029	0.84603	20.41694	154.10515	0.22100999999999998	3.17013	0.03151		107.41611999999999	94.72261	12.22788
63	268.2135	245.15329	0.244	155.99419	2.0834	7.89155	5.02877	0.08553999999999999	0.02561	34.72286	466.17209	0.03045	0.00772	0.2787	69.91051	22.74576	4.30048	1.90976	0.88715	19.68157	130.38135	0.8193299999999999	73.23686	88.45425	1.48389	0.12771	97.37101	5.435630000000001	174.16522	40.763659999999994	200.22555	171.79249		60.85689	27.190820000000002	0.84678	33.14306	108.42327	0.0452	1.91507		0.14084000000000002	235.02449	209.67096999999998	8.4953
64	441.63617	363.83426000000003	0.34941	295.2277	3.92559	9.18043	13.4392	0.64985	0.26799	58.846709999999995	815.4984099999999	0.11650999999999999	0.00878	1.1461	115.56815	64.18513	4.829269999999999	4.45097	0.94179	90.00912	356.53772999999995	0.88505	101.9367	202.01856999999998	5.73663	0.14732	213.28319	11.039810000000001	171.04013999999998	126.6528	489.06829000000005	318.19523	0.00673	60.213159999999995	32.611309999999996	1.43	57.08486	156.50062	1.3549	7.37701	0.02532	0.22130999999999998	220.31805	78.39164	15.73083
65	574.83313	410.9326	0.10246	258.8427	6.02767	10.5514	17.55154	0.21097	0.12057999999999999	69.04288000000001	670.48136	0.18285	0.01197	2.1436900000000003	136.34448999999998	27.608190000000004	13.57019	11.365	0.73637	101.17537	322.56587	3.4199900000000003	147.78026	225.298	7.099660000000001	0.34033	222.93512	7.06843	177.75467	76.01811	468.72045999999995	300.00562	0.005520000000000001	237.91898999999998	63.21269	1.61659	56.20225	339.68834	0.48632	1.33409	0.19344	0.18762	624.0555400000001	169.17528000000001	9.390189999999999
66	174.1406	316.36127	0.21298000000000003	368.91671	3.60735	4.68262	12.60116	0.34091	0.19848	83.19055999999999	1469.5697400000001	0.13595	0.0099	11.74543	119.57524	403.56517	4.82335	5.8071	0.9112399999999999	67.96056	279.09629	0.76572	150.1563	228.75457999999998	3.8909	0.36598	200.60332	15.532729999999999	188.82478	187.96276	348.59387999999996	53.77182	0.00315	46.69279	52.94493000000001	0.70482	46.38606	240.91253999999998	1.2258	4.33343	0.08109	0.64337	93.28874	115.41953000000001	13.273539999999999
67	359.04305	292.12588999999997	0.05872	82.56121	7.7523	7.0121899999999995	10.63081	0.29844	0.052410000000000005	79.99991	596.63057	0.07867	0.01601	4.4317400000000005	133.68368999999998	391.4029	7.288710000000001	6.13319	0.98595	86.06234	245.05241	6.03274	144.55705	241.62476	6.953710000000001	0.15850999999999998	160.87305	10.740639999999999	94.53291	89.4259	356.18557999999996	201.20445		235.11163	43.31539	4.30705	48.47396	291.67922999999996	0.1357	6.7297899999999995	0.04513	0.04635	287.39898999999997	64.25795	9.09793
68	447.10809000000006	257.32728	0.01342	82.61401	7.173830000000001	6.868810000000001	12.1052	0.16093	0.1087	91.50004	907.0808199999999	0.11458	0.00916	2.2600599999999997	112.73342	50.36933	14.73112	6.50128	0.4819	79.31719	338.83777000000003	4.88552	230.85202	206.49011000000002	7.9252199999999995	0.03073	441.20201	10.213339999999999	135.45459	113.21233000000001	314.25903999999997	284.2402	0.0028899999999999998	310.1798	29.922729999999998	7.344869999999999	66.22836	265.42014	0.32061999999999996	3.44553	0.03812	0.99041	606.31259	107.48543000000001	9.7137
69	452.95417000000003	335.74874	0.06633	140.60198	3.7277400000000003	7.85608	11.17077	0.0636	0.08072	83.89545	743.26435	0.18305	0.03707	2.0655900000000003	107.21363999999998	86.49704	6.987439999999999	3.0741099999999997	0.73955	57.877990000000004	250.03884	2.67671	123.61731	136.43209	3.7776	0.13235999999999998	214.79535	11.900739999999999	164.19256000000001	85.5756	367.62368	266.45248	0.0092	154.38706000000002	19.5947	1.68565	72.72014	228.1338	0.82289	3.24353	0.00371	0.40881	283.8233	95.59609	14.602570000000002
70	336.10168999999996	359.0826	0.23398000000000002	93.7919	5.61209	10.28628	11.17957	0.1762	0.06171	55.67305	480.86234	0.11016	0.00998	1.7832	134.31066	57.133109999999995	5.14799	2.71405	0.61124	33.33512	326.47733999999997	1.24799	121.58036000000001	159.0507	6.70154	0.159	130.99806	11.468110000000001	147.51899	161.22964	499.90103	277.12934	0.00785	103.83609	41.22181	1.5203	34.587759999999996	195.93473	4.35243	3.82001	0.14826	0.61575	474.79616	69.45456999999999	22.08533
